submission_id,submitted_at,enumerator_id,site_id,province,territory,beneficiary_uid,hh_size,sex_head,age_head,item_kit_type,qty,distribution_date
SUB0001,2025-02-24,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0001,6,Female,22,NFI_KIT_B,1,2025-02-24
SUB0002,2025-04-13,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0002,2,Female,56,NFI_KIT_A,1,2025-04-13
SUB0003,2025-03-06,EN002,SITE_GOM,North Kivu,Goma,BEN0003,7,Male,67,NFI_KIT_B,1,2025-03-06
SUB0004,2025-02-16,EN004,SITE_GOM,North Kivu,Goma,BEN0004,9,Female,24,NFI_KIT_A,1,2025-02-16
SUB0005,2025-03-27,EN004,SITE_GOM,North Kivu,Goma,BEN0005,7,Female,60,NFI_KIT_B,1,2025-03-27
SUB0006,2025-01-26,EN004,SITE_MAS,North Kivu,Masisi,BEN0006,1,Female,68,NFI_KIT_B,1,2025-01-26
SUB0007,2025-04-29,EN003,SITE_MAS,North Kivu,Masisi,BEN0007,6,Female,19,NFI_KIT_B,1,2025-04-29
SUB0008,2025-02-18,EN005,SITE_RUT,North Kivu,Rutshuru,BEN0008,4,Male,70,NFI_KIT_B,1,2025-02-18
SUB0009,2025-04-19,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0009,4,Female,48,NFI_KIT_B,1,2025-04-19
SUB0010,2025-04-30,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0010,1,Female,66,NFI_KIT_B,1,2025-04-30
SUB0011,2025-03-26,EN002,SITE_GOM,North Kivu,Goma,BEN0011,5,Male,24,NFI_KIT_A,1,2025-03-26
SUB0012,2025-02-22,EN003,SITE_NYI,North Kivu,Nyiragongo,BEN0012,4,Male,41,NFI_KIT_B,1,2025-02-22
SUB0013,2025-03-23,EN003,SITE_MAS,North Kivu,Masisi,BEN0013,9,Male,53,NFI_KIT_B,1,2025-03-23
SUB0014,2025-06-13,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0014,7,Male,48,NFI_KIT_A,1,2025-06-13
SUB0015,2025-05-12,EN005,SITE_GOM,North Kivu,Goma,BEN0015,7,Male,44,NFI_KIT_B,1,2025-05-12
SUB0016,2025-02-14,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0016,7,Female,65,NFI_KIT_A,1,2025-02-14
SUB0017,2025-03-01,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0017,4,Female,21,NFI_KIT_A,1,2025-03-01
SUB0018,2025-05-31,EN004,SITE_GOM,North Kivu,Goma,BEN0018,2,Male,51,NFI_KIT_A,1,2025-05-31
SUB0019,2025-05-12,EN002,SITE_GOM,North Kivu,Goma,BEN0019,5,Male,37,NFI_KIT_B,1,2025-05-12
SUB0020,2025-03-31,EN004,SITE_MAS,North Kivu,Masisi,BEN0020,6,Female,28,NFI_KIT_A,1,2025-03-31
SUB0021,2025-05-18,EN003,SITE_RUT,North Kivu,Rutshuru,BEN0021,4,Male,44,NFI_KIT_A,1,2025-05-18
SUB0022,2025-04-20,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0022,2,Female,64,NFI_KIT_B,1,2025-04-20
SUB0023,2025-05-08,EN005,SITE_GOM,North Kivu,Goma,BEN0023,1,Male,36,NFI_KIT_A,1,2025-05-08
SUB0024,2025-04-08,EN004,SITE_GOM,North Kivu,Goma,BEN0024,4,Female,41,NFI_KIT_B,1,2025-04-08
SUB0025,2025-03-27,EN001,SITE_GOM,North Kivu,Goma,BEN0025,10,Male,27,NFI_KIT_A,1,2025-03-27
SUB0026,2025-04-18,EN003,SITE_NYI,North Kivu,Nyiragongo,BEN0026,9,Female,23,NFI_KIT_A,1,2025-04-18
SUB0027,2025-03-17,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0027,9,Female,56,NFI_KIT_A,1,2025-03-17
SUB0028,2025-03-16,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0028,10,Female,57,NFI_KIT_A,1,2025-03-16
SUB0029,2025-05-29,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0029,3,Male,65,NFI_KIT_B,1,2025-05-29
SUB0030,2025-05-06,EN005,SITE_GOM,North Kivu,Goma,BEN0030,6,Male,19,NFI_KIT_A,1,2025-05-06
SUB0031,2025-01-05,EN002,SITE_GOM,North Kivu,Goma,BEN0031,6,Male,39,NFI_KIT_B,1,2025-01-05
SUB0032,2025-01-17,EN005,SITE_GOM,North Kivu,Goma,BEN0032,1,Female,29,NFI_KIT_B,1,2025-01-17
SUB0033,2025-01-05,EN001,SITE_MAS,North Kivu,Masisi,BEN0033,10,Male,23,NFI_KIT_A,1,2025-01-05
SUB0034,2025-03-11,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0034,10,Female,38,NFI_KIT_A,1,2025-03-11
SUB0035,2025-06-16,EN002,SITE_NYI,North Kivu,Nyiragongo,BEN0035,4,Male,34,NFI_KIT_A,1,2025-06-16
SUB0036,2025-02-04,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0036,8,Female,51,NFI_KIT_A,1,2025-02-04
SUB0037,2025-06-12,EN005,SITE_MAS,North Kivu,Masisi,BEN0037,2,Male,39,NFI_KIT_A,1,2025-06-12
SUB0038,2025-05-04,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0038,4,Female,44,NFI_KIT_B,1,2025-05-04
SUB0039,2025-02-02,EN005,SITE_GOM,North Kivu,Goma,BEN0039,1,Female,22,NFI_KIT_B,1,2025-02-02
